Temperature,Partition Functions
10.0,4.346215844922701e+249
10.99099099099099,5.770611626653092e+249
11.981981981981981,7.476481745990994e+249
12.972972972972972,9.489205036655112e+249
13.963963963963964,1.1834160332364161e+250
14.954954954954955,1.4536726466836843e+250
15.945945945945946,1.762228227379186e+250
16.936936936936938,2.111620658694796e+250
17.92792792792793,2.50438782400238e+250
18.91891891891892,2.943067606673814e+250
19.90990990990991,3.430197890080963e+250
20.9009009009009,3.9683165575957025e+250
21.89189189189189,4.559961492589904e+250
22.882882882882882,5.20767057843544e+250
23.873873873873876,5.913981698504175e+250
24.864864864864863,6.681432736167985e+250
25.855855855855857,7.512561574798736e+250
26.846846846846848,8.409906097768301e+250
27.83783783783784,9.376004188448565e+250
28.82882882882883,1.0413393730211376e+251
29.81981981981982,1.152461260642861e+251
30.81081081081081,1.2712198700472148e+251
31.8018018018018,1.3978689895713857e+251
32.792792792792795,1.5326624075525615e+251
33.78378378378378,1.675853912327927e+251
34.77477477477477,1.8276972922346702e+251
35.765765765765764,1.9884463356099835e+251
36.75675675675676,2.1583548307910452e+251
37.74774774774775,2.337676566115049e+251
38.73873873873874,2.5266653299191756e+251
39.729729729729726,2.7255749105406173e+251
40.72072072072072,2.93465909631656e+251
41.711711711711715,3.1541716755841943e+251
42.7027027027027,3.3843664366807004e+251
43.693693693693696,3.625497167943271e+251
44.68468468468468,3.8778176577090874e+251
45.67567567567568,4.141581694315341e+251
46.666666666666664,4.4170430660992173e+251
47.65765765765766,4.704455561397908e+251
48.648648648648646,5.004072968548594e+251
49.63963963963964,5.316149075888464e+251
50.63063063063063,5.640937671754709e+251
51.62162162162162,5.978692544484509e+251
52.612612612612615,6.329667482415055e+251
53.6036036036036,6.694116273883539e+251
54.5945945945946,7.072292707227136e+251
55.585585585585584,7.464450570783042e+251
56.57657657657658,7.870843652888456e+251
57.567567567567565,8.291725741880536e+251
58.55855855855856,8.727350626096498e+251
59.549549549549546,9.177972093873497e+251
60.54054054054054,9.643843933548755e+251
61.53153153153153,1.012521993345943e+252
62.52252252252252,1.0622353881942732e+252
63.513513513513516,1.1135499567335844e+252
64.5045045045045,1.1664910777975937e+252
65.4954954954955,1.2210841302200205e+252
66.48648648648648,1.2773544928345841e+252
67.47747747747748,1.335327544475003e+252
68.46846846846847,1.3950286639749956e+252
69.45945945945945,1.4564832301682812e+252
70.45045045045045,1.5197166218885777e+252
71.44144144144144,1.5847542179696074e+252
72.43243243243242,1.6516213972450808e+252
73.42342342342343,1.7203435385487256e+252
74.41441441441441,1.790946020714254e+252
75.4054054054054,1.8634542225753892e+252
76.3963963963964,1.9378935229658475e+252
77.38738738738739,2.014289300719349e+252
78.37837837837837,2.092666934669609e+252
79.36936936936937,2.173051803650352e+252
80.36036036036036,2.2554692864952917e+252
81.35135135135135,2.3399447620381488e+252
82.34234234234233,2.4265036091126403e+252
83.33333333333333,2.5151712065524873e+252
84.32432432432432,2.60597293319141e+252
85.31531531531532,2.6989341678631257e+252
86.30630630630631,2.794080289401348e+252
87.29729729729729,2.891436676639799e+252
88.28828828828829,2.9910287084121997e+252
89.27927927927928,3.092881763552268e+252
90.27027027027027,3.1970212208937245e+252
91.26126126126125,3.3034724592702815e+252
92.25225225225225,3.4122608575156615e+252
93.24324324324324,3.523411794463584e+252
94.23423423423424,3.6369506489477674e+252
95.22522522522523,3.752902799801931e+252
96.21621621621621,3.871293625859791e+252
97.2072072072072,3.992148505955066e+252
98.1981981981982,4.11549281892148e+252
99.1891891891892,4.241351943592746e+252
100.18018018018017,4.369751258802582e+252
101.17117117117117,4.500716143384715e+252
102.16216216216216,4.634271976172853e+252
103.15315315315316,4.77044413600072e+252
104.14414414414414,4.909258001702037e+252
105.13513513513513,5.05073895211052e+252
106.12612612612612,5.1949123660598895e+252
107.11711711711712,5.341803622383855e+252
108.10810810810811,5.491438099916152e+252
109.09909909909909,5.643841177490488e+252
110.09009009009009,5.7990382339405845e+252
111.08108108108108,5.957054648100155e+252
112.07207207207207,6.117915798802922e+252
113.06306306306305,6.281647064882611e+252
114.05405405405405,6.448273825172929e+252
115.04504504504504,6.617821458507605e+252
116.03603603603604,6.79031534372035e+252
117.02702702702703,6.9657808596448825e+252
118.01801801801801,7.1442433851149335e+252
119.009009009009,7.32572829896421e+252
120.0,7.510260980026421e+252
120.990990990991,7.697866807135316e+252
121.98198198198197,7.888571159124584e+252
122.97297297297297,8.082399414827954e+252
123.96396396396396,8.27937695307915e+252
124.95495495495496,8.47952915271189e+252
125.94594594594594,8.682881392559888e+252
126.93693693693693,8.88945905145685e+252
127.92792792792793,9.099287508236529e+252
128.9189189189189,9.312392141732611e+252
129.9099099099099,9.528798330778833e+252
130.9009009009009,9.7485314542089e+252
131.89189189189187,9.971616890856543e+252
132.88288288288288,1.0198080019555481e+253
133.8738738738739,1.0427946219139425e+253
134.86486486486484,1.0661240868442088e+253
135.85585585585585,1.089798934629721e+253
136.84684684684686,1.1138217031538491e+253
137.83783783783784,1.138194930299965e+253
138.82882882882882,1.162921153951441e+253
139.81981981981983,1.1880029119916513e+253
140.8108108108108,1.2134427423039624e+253
141.8018018018018,1.2392431827717508e+253
142.7927927927928,1.2654067712783871e+253
143.78378378378378,1.2919360457072436e+253
144.77477477477478,1.3188335439416912e+253
145.76576576576576,1.3461018038651012e+253
146.75675675675674,1.3737433633608465e+253
147.74774774774775,1.4017607603123003e+253
148.73873873873873,1.4301565326028319e+253
149.72972972972974,1.4589332181158161e+253
150.72072072072072,1.4880933547346196e+253
151.7117117117117,1.517639480342621e+253
152.7027027027027,1.5475741328231867e+253
153.6936936936937,1.577899850059692e+253
154.68468468468467,1.6086191699355057e+253
155.67567567567568,1.6397346303340016e+253
156.66666666666666,1.671248769138553e+253
157.65765765765767,1.7031641242325312e+253
158.64864864864865,1.735483233499304e+253
159.63963963963963,1.7682086348222486e+253
160.63063063063063,1.8013428660847354e+253
161.6216216216216,1.834888465170132e+253
162.61261261261262,1.8688479699618156e+253
163.6036036036036,1.903223918343158e+253
164.59459459459458,1.9380188481975244e+253
165.5855855855856,1.9732352974082962e+253
166.57657657657657,2.0088758038588398e+253
167.56756756756755,2.0449429054325257e+253
168.55855855855856,2.0814391400127298e+253
169.54954954954954,2.1183670454828207e+253
170.54054054054055,2.1557291597261725e+253
171.53153153153153,2.193528020626159e+253
172.5225225225225,2.2317661660661463e+253
173.51351351351352,2.2704461339295097e+253
174.5045045045045,2.3095704620996197e+253
175.4954954954955,2.349141688459852e+253
176.48648648648648,2.3891623508935733e+253
177.47747747747746,2.429634987284159e+253
178.46846846846847,2.4705621355149773e+253
179.45945945945945,2.511946333469404e+253
180.45045045045046,2.5537901190308126e+253
181.44144144144144,2.596096030082567e+253
182.43243243243242,2.6388666045080478e+253
183.42342342342343,2.6821043801906212e+253
184.4144144144144,2.725811895013663e+253
185.4054054054054,2.7699916868605407e+253
186.3963963963964,2.8146462936146275e+253
187.38738738738738,2.859778253159296e+253
188.3783783783784,2.9053901033779214e+253
189.36936936936937,2.95148438215387e+253
190.36036036036035,2.998063627370518e+253
191.35135135135135,3.045130376911235e+253
192.34234234234233,3.092687168659394e+253
193.33333333333334,3.1407365404983644e+253
194.32432432432432,3.1892810303115195e+253
195.3153153153153,3.2383231759822305e+253
196.3063063063063,3.287865515393873e+253
197.2972972972973,3.3379105864298146e+253
198.28828828828827,3.3884609269734283e+253
199.27927927927928,3.439519074908087e+253
200.27027027027026,3.4910875681171644e+253
201.26126126126127,3.543168944484028e+253
202.25225225225225,3.5957657418920496e+253
203.24324324324323,3.648880498224605e+253
204.23423423423424,3.702515751365064e+253
205.22522522522522,3.756674039196797e+253
206.21621621621622,3.811357899603182e+253
207.2072072072072,3.866569870467584e+253
208.19819819819818,3.922312489673376e+253
209.1891891891892,3.978588295103933e+253
210.18018018018017,4.0353998246426196e+253
211.17117117117118,4.092749616172821e+253
212.16216216216216,4.150640207577896e+253
213.15315315315314,4.209074136741222e+253
214.14414414414415,4.268053941546171e+253
215.13513513513513,4.3275821598761134e+253
216.1261261261261,4.3876613296144193e+253
217.11711711711712,4.44829398864447e+253
218.1081081081081,4.509482674849629e+253
219.0990990990991,4.571229926113268e+253
220.0900900900901,4.6335382803187613e+253
221.08108108108107,4.6964102753494724e+253
222.07207207207207,4.759848449088795e+253
223.06306306306305,4.8238553394200795e+253
224.05405405405406,4.8884334842267064e+253
225.04504504504504,4.953585421392041e+253
226.03603603603602,5.0193136887994696e+253
227.02702702702703,5.0856208243323497e+253
228.018018018018,5.152509365874055e+253
229.009009009009,5.219981851307964e+253
230.0,5.288040818517449e+253
230.99099099099098,5.3566888053858786e+253
231.981981981982,5.42592834979662e+253
232.97297297297297,5.495761989633049e+253
233.96396396396395,5.5661922627785395e+253
234.95495495495496,5.637221707116465e+253
235.94594594594594,5.708852860530187e+253
236.93693693693695,5.7810882609030885e+253
237.92792792792793,5.853930446118537e+253
238.9189189189189,5.927381954059906e+253
239.9099099099099,6.001445322610568e+253
240.9009009009009,6.076123089653884e+253
241.89189189189187,6.151417793073239e+253
242.88288288288288,6.22733197075201e+253
243.87387387387386,6.303868160573553e+253
244.86486486486487,6.381028900421243e+253
245.85585585585585,6.45881672817846e+253
246.84684684684683,6.537234181728561e+253
247.83783783783784,6.61628379895494e+253
248.82882882882882,6.695968117740949e+253
249.81981981981983,6.776289675969974e+253
250.8108108108108,6.85725101152538e+253
251.8018018018018,6.938854662290536e+253
252.7927927927928,7.021103166148817e+253
253.78378378378378,7.1039990609836e+253
254.77477477477478,7.187544884678247e+253
255.76576576576576,7.271743175116143e+253
256.7567567567568,7.356596470180646e+253
257.7477477477478,7.442107307755134e+253
258.73873873873873,7.528278225722979e+253
259.7297297297297,7.615111761967541e+253
260.7207207207207,7.702610454372217e+253
261.7117117117117,7.790776840820367e+253
262.7027027027027,7.879613459195356e+253
263.6936936936937,7.969122847380564e+253
264.68468468468467,8.059307543259358e+253
265.6756756756757,8.150170084715116e+253
266.6666666666667,8.241713009631202e+253
267.65765765765764,8.333938855890988e+253
268.64864864864865,8.426850161377857e+253
269.63963963963965,8.520449463975156e+253
270.6306306306306,8.614739301566292e+253
271.6216216216216,8.709722212034608e+253
272.6126126126126,8.8054007332635e+253
273.6036036036036,8.901777403136314e+253
274.5945945945946,8.99885475953644e+253
275.5855855855856,9.096635340347244e+253
276.5765765765766,9.195121683452103e+253
277.56756756756755,9.294316326734368e+253
278.55855855855856,9.394221808077448e+253
279.54954954954957,9.494840665364683e+253
280.5405405405405,9.596175436479448e+253
281.5315315315315,9.698228659305131e+253
282.52252252252254,9.801002871725094e+253
283.5135135135135,9.904500611622719e+253
284.5045045045045,1.0008724416881362e+254
285.4954954954955,1.0113676825384403e+254
286.48648648648646,1.0219360375015204e+254
287.47747747747746,1.0325777603657159e+254
288.4684684684685,1.0432931049193632e+254
289.4594594594595,1.0540823249507976e+254
290.45045045045043,1.0649456742483575e+254
291.44144144144144,1.0758834066003812e+254
292.43243243243245,1.0868957757952044e+254
293.4234234234234,1.0979830356211654e+254
294.4144144144144,1.1091454398666004e+254
295.4054054054054,1.1203832423198459e+254
296.39639639639637,1.1316966967692415e+254
297.3873873873874,1.1430860570031234e+254
298.3783783783784,1.154551576809828e+254
299.36936936936934,1.166093509977692e+254
