,E (iso),E (SOC),E (SOC+CFS),A (iso),A (SOC),A (SOC+CFS,S (iso),S (SOC),S (SOC+CFS
1210.4104104104103,-1.4210854715202004e-14,0.02335787379773535,0.03824293141259005,-0.2752671357808626,-0.195975335041499,0.34043062043597405,0.00022741636507200846,0.0001812056060950043,-0.00012074320823363127
1212.1121121121123,1.4210854715202004e-14,0.023438685967548167,0.03834307704051554,-0.2756541305963005,-0.19628374972688326,0.340636060668574,0.00022741636507203622,0.00018127232354399336,-0.00012070965157702507
1213.8138138138138,1.4210854715202004e-14,0.02351952444863059,0.03844322390209243,-0.27604112541173836,-0.19659227788439146,0.34084144407497496,0.00022741636507202234,0.00018133896908507918,-0.00012067641958442288
1215.5155155155155,-0.0,0.023600388682680773,0.038543371535382676,-0.2764281202271762,-0.19690091939143706,0.34104677120569815,0.00022741636507200846,0.00018140554246016266,-0.00012064351008721219
1217.2172172172172,1.4210854715202004e-14,0.023681278113869553,0.03864351948047329,-0.2768151150426141,-0.19720967412499663,0.34125204260780434,0.00022741636507200846,0.000181472043414177,-0.00012061092108435478
1218.918918918919,1.4210854715202004e-14,0.023762192188897302,0.038743667279440785,-0.27720210985805194,-0.19751854196161545,0.3414572588250043,0.00022741636507200846,0.00018153847169520565,-0.00012057865051498529
1220.6206206206207,-1.4210854715202004e-14,0.023843130356823394,0.038843814476472005,-0.2775891046734898,-0.19782752277741275,0.34166242039734485,0.00022741636507200846,0.00018160482705437825,-0.000120546696365742
1222.3223223223224,1.4210854715202004e-14,0.02392409206930779,0.03894396061769356,-0.27797609948892765,-0.1981366164480868,0.3418675278616845,0.00022741636507200846,0.00018167110924589835,-0.00012051505662574735
1224.0240240240241,-0.0,0.024005076780412082,0.03904410525134949,-0.2783630943043655,-0.19844582284892032,0.34207258175122623,0.00022741636507202234,0.00018173731802705734,-0.00012048372925781148
1225.7257257257256,1.4210854715202004e-14,0.0240860839465995,0.03914424792766624,-0.27875008911980337,-0.19875514185478546,0.3422775825958952,0.00022741636507202234,0.00018180345315808172,-0.00012045271229457755
1227.4274274274276,1.4210854715202004e-14,0.02416711302689123,0.03924438819890952,-0.2791370839352413,-0.19906457334014904,0.34248253092219877,0.00022741636507199459,0.00018186951440227195,-0.00012042200374230705
1229.129129129129,-0.0,0.024248163482738505,0.039344525619370074,-0.2795240787506791,-0.1993741171790775,0.3426874272532764,0.00022741636507203622,0.00018193550152590526,-0.00012039160160338958
1230.830830830831,1.4210854715202004e-14,0.024329234778036835,0.03944465974539213,-0.27991107356611705,-0.19968377324524222,0.34289227210883694,0.00022741636507202234,0.0001820014142981663,-0.00012036150398853085
1232.5325325325325,1.4210854715202004e-14,0.02441032637909757,0.039544790135217056,-0.2802980683815548,-0.1999935414119241,0.3430970660055897,0.00022741636507199459,0.0001820672524912581,-0.0001203317089144007
1234.2342342342342,-1.4210854715202004e-14,0.02449143775474738,0.03964491634926759,-0.2806850631969927,-0.20030342155201927,0.3433018094564936,0.00022741636507202234,0.00018213301588031888,-0.00012030221435996302
1235.935935935936,1.4210854715202004e-14,0.02457256837628563,0.03974503794992046,-0.28107205801243057,-0.20061341353804332,0.34350650297137936,0.00022741636507200846,0.00018219870424331097,-0.00012027301849018568
1237.6376376376377,-1.4210854715202004e-14,0.024653717717299628,0.039845154501506386,-0.28145905282786843,-0.20092351724213664,0.3437111470569607,0.00022741636507202234,0.00018226431736116655,-0.00012024411938717228
1239.3393393393394,-1.4210854715202004e-14,0.024734885253948846,0.03994526557042377,-0.28184604764330634,-0.20123373253606933,0.3439157422165409,0.00022741636507202234,0.0001823298550176558,-0.00012021551510026096
1241.0410410410411,-1.4210854715202004e-14,0.024816070464865447,0.04004537072507475,-0.2822330424587442,-0.2015440592912458,0.3441202889501948,0.00022741636507200846,0.00018239531699942857,-0.00012018720374684655
1242.7427427427428,-0.0,0.024897272831012174,0.040145469535850964,-0.28262003727418206,-0.20185449737871003,0.34432478775481845,0.00022741636507202234,0.00018246070309596574,-0.00012015918346733323
1244.4444444444443,-1.4210854715202004e-14,0.024978491835796035,0.04024556157512649,-0.28300703208961986,-0.20216504666914992,0.34452923912415767,0.00022741636507202234,0.00018252601309951683,-0.00012013145235252598
1246.1461461461463,1.4210854715202004e-14,0.02505972696509673,0.040345646417335956,-0.2833940269050578,-0.2024757070329026,0.3447336435486108,0.00022741636507202234,0.00018259124680522487,-0.00012010400855483327
1247.8478478478478,-1.4210854715202004e-14,0.025140977707152956,0.04044572363882537,-0.28378102172049563,-0.20278647833995847,0.3449380015156356,0.00022741636507200846,0.00018265640401089744,-0.00012007685026048376
1249.5495495495497,-1.4210854715202004e-14,0.025222243552690315,0.040545792817965776,-0.28416801653593354,-0.20309736045996674,0.34514231350945734,0.00022741636507200846,0.00018272148451723563,-0.00012004997557257813
1251.2512512512512,-1.4210854715202004e-14,0.02530352399483604,0.040645853535153265,-0.28455501135137135,-0.20340835326223936,0.3453465800110778,0.00022741636507202234,0.00018278648812759812,-0.00012002338267201595
1252.952952952953,1.4210854715202004e-14,0.025384818529133213,0.040745905372716607,-0.28494200616680926,-0.20371945661575633,0.3455508014985313,0.00022741636507202234,0.00018285141464807753,-0.00011999706975089619
1254.6546546546547,1.4210854715202004e-14,0.02546612665344128,0.04084594791500251,-0.2853290009822471,-0.20403067038916975,0.34575497844666647,0.00022741636507200846,0.0001829162638874865,-0.00011997103500650808
1256.3563563563564,-0.0,0.0255474478681208,0.04094598074829037,-0.285715995797685,-0.20434199445080886,0.3459591113273823,0.00022741636507200846,0.0001829810356573855,-0.00011994527663063137
1258.0580580580581,-0.0,0.025628781675948176,0.04104600346089171,-0.28610299061312283,-0.20465342866868438,0.34616320060937333,0.00022741636507200846,0.00018304572977190237,-0.00011991979282005572
1259.7597597597598,-1.4210854715202004e-14,0.025710127581973552,0.04114601564305076,-0.2864899854285607,-0.204964972910493,0.34636724675840147,0.00022741636507200846,0.000183110346047885,-0.00011989458180987345
1261.4614614614616,-0.0,0.02579148509379081,0.04124601688700125,-0.28687698024399855,-0.20527662704362212,0.3465712502371547,0.00022741636507203622,0.0001831748843048528,-0.00011986964182915394
1263.163163163163,-0.0,0.025872853721295996,0.041346006786923795,-0.2872639750594364,-0.2055883909351541,0.3467752115053675,0.00022741636507202234,0.00018323934436485778,-0.00011984497113369519
