Temperature (K),B2V Hard Sphere,B2V Square Well,B2V Lennard-Jones
715.1515151515151,3.416608202015798e+26,-5.6936835478277825e+25,-5.180517653145437e+26
722.2222222222223,3.416608202015798e+26,-5.271265458413755e+25,-5.11014878974546e+26
729.2929292929293,3.416608202015798e+26,-4.857689487068118e+25,-5.04122318173245e+26
736.3636363636364,3.416608202015798e+26,-4.452681369045248e+25,-4.973697846745696e+26
743.4343434343434,3.416608202015798e+26,-4.055978048211158e+25,-4.9075314824161806e+26
750.5050505050506,3.416608202015798e+26,-3.667327111085845e+25,-4.842684385259452e+26
757.5757575757576,3.416608202015798e+26,-3.286486254788817e+25,-4.7791183742205945e+26
764.6464646464647,3.416608202015798e+26,-2.9132227865448733e+25,-4.7167967185584085e+26
771.7171717171717,3.416608202015798e+26,-2.547313152589455e+25,-4.655684069787438e+26
778.7878787878788,3.416608202015798e+26,-2.188542494481852e+25,-4.595746397412908e+26
785.8585858585859,3.416608202015798e+26,-1.8367042309850716e+25,-4.5369509282142625e+26
792.929292929293,3.416608202015798e+26,-1.491599663812226e+25,-4.4792660888514195e+26
800.0,3.416608202015798e+26,-1.1530376056672677e+25,-4.4226614515828094e+26
